Dia,Susceptibles,Infectados,Recuperados,Muertos
245,964463,33502,1688,347
246,964463,33502,1688,347
247,964463,33502,1688,347
248,964463,33502,1688,347
249,964463,33502,1688,347
250,964463,33502,1688,347
251,964463,33502,1688,347
252,964463,33502,1688,347
253,964463,33502,1688,347
254,964463,33502,1688,347
255,964463,33502,1688,347
256,964463,33502,1688,347
257,964463,33502,1688,347
258,964463,33502,1688,347
259,964463,33502,1688,347
260,964463,33502,1688,347
261,964463,33502,1688,347
262,964463,33502,1688,347
263,964463,33502,1688,347
264,964463,33502,1688,347
265,964463,33502,1688,347
266,964463,33502,1688,347
267,964463,33502,1688,347
268,964463,33502,1688,347
269,964463,33502,1688,347
270,964463,33502,1688,347
271,964463,33502,1688,347
272,964463,33502,1688,347
273,964463,33502,1688,347
274,964463,33502,1688,347
275,964463,33502,1688,347
276,964463,33502,1688,347
277,964463,33502,1688,347
278,964463,33502,1688,347
279,964463,33502,1688,347
280,964463,33502,1688,347
281,964463,33502,1688,347
282,964463,33502,1688,347
283,964463,33502,1688,347
284,964463,33502,1688,347
285,964463,33502,1688,347
286,964463,33502,1688,347
287,964463,33502,1688,347
288,964463,33502,1688,347
289,964463,33502,1688,347
290,964463,33502,1688,347
291,964463,33502,1688,347
292,964463,33502,1688,347
293,964463,33502,1688,347
294,964463,33502,1688,347
295,964463,33502,1688,347
296,964463,33502,1688,347
297,964463,33502,1688,347
298,964463,33502,1688,347
299,964463,33502,1688,347
300,964463,33502,1688,347
301,964463,33502,1688,347
302,964463,33502,1688,347
303,964463,33502,1688,347
304,964463,33502,1688,347
305,964463,33502,1688,347
306,964463,33502,1688,347
307,964463,33502,1688,347
308,964463,33502,1688,347
309,964463,33502,1688,347
310,964463,33502,1688,347
311,964463,33502,1688,347
312,964463,33502,1688,347
313,964463,33502,1688,347
314,964463,33502,1688,347
315,964463,33502,1688,347
316,964463,33502,1688,347
317,964463,33502,1688,347
318,964463,33502,1688,347
319,964463,33502,1688,347
320,964463,33502,1688,347
321,964463,33502,1688,347
322,964463,33502,1688,347
323,964463,33502,1688,347
324,964463,33502,1688,347
325,964463,33502,1688,347
326,964463,33502,1688,347
327,964463,33502,1688,347
328,964463,33502,1688,347
329,964463,33502,1688,347
330,964463,33502,1688,347
331,964463,33502,1688,347
332,964463,33502,1688,347
333,964463,33502,1688,347
334,964463,33502,1688,347
335,964463,33502,1688,347
336,964463,33502,1688,347
337,964463,33502,1688,347
338,964463,33502,1688,347
339,964463,33502,1688,347
340,964463,33502,1688,347
341,964463,33502,1688,347
342,964463,33502,1688,347
343,964463,33502,1688,347
344,964463,33502,1688,347
345,964463,33502,1688,347
346,964463,33502,1688,347
347,964463,33502,1688,347
348,964463,33502,1688,347
349,964463,33502,1688,347
350,964463,33502,1688,347
351,964463,33502,1688,347
352,964463,33502,1688,347
353,964463,33502,1688,347
354,964463,33502,1688,347
355,964463,33502,1688,347
356,964463,33502,1688,347
357,964463,33502,1688,347
358,964463,33502,1688,347
359,964463,33502,1688,347
360,964463,33502,1688,347
361,964463,33502,1688,347
362,964463,33502,1688,347
363,964463,33502,1688,347
364,964463,33502,1688,347
365,964463,33502,1688,347
