Procesos,Tiempo,Speedup,Eficiencia
1,16.664383500115946,1.0,100.0
2,8.575702599948272,1.943209119707167,97.16045598535835
4,5.294456700095907,3.1475153059263055,78.68788264815764
8,4.828277300111949,3.451413923498048,43.1426740437256
